distance,force_median,L2012_lambda,L2012_f0,L2012_delta,L2012_L,CR2020_density,CR2020_ssa
337,0.080818967,239.51573496221394,0.012266416620777428,0.057263198,0.4344087991183017,199.70661466939225,25.25164694954661
337.5,0.09698276,209.3240789336052,0.013151732300403956,0.071774947,0.45436363679491726,211.10544234774986,23.750786759082636
338,0.10641163983382285,121.45187628068172,0.020611254,0.08893574,0.5447641928733398,228.3318328458591,20.04339732796349
338.5,0.085533407,75.04270295,0.02995107,0.085857792,0.6395980640515472,233.79358933106568,17.864133052148297
339,0.071390087,292.28851031038533,0.010435995879221425,0.048727861841433476,0.40651138705147144,189.4636907521285,26.93758262767598
339.5,0.083512933,189.63535928013937,0.023446336883784166,0.044380593,0.4695734393104526,206.65371997672372,23.686950251543415
340,0.11179957096464932,356.51993180425796,0.014966913032373309,0.044288417,0.38046556715253743,207.09503645274367,26.524868220202908
340.5,0.13065732992254198,222.64883171246802,0.020842876,0.059270174929235586,0.4451125332900592,223.40890566287075,23.04173486839146
341,0.15625000279396772,300.84815537244657,0.018909107,0.057940473941820544,0.4026189195130731,226.20519864810151,24.24928477646445
341.5,0.19396552070975304,436.0218927019423,0.020214848123418575,0.043551482,0.3557737199389607,230.99507568884547,25.753698439239674
342,0.2357219869736582,151.51946576727047,0.042808682,0.079279692,0.5060426871295229,257.1499006906638,18.500925718994104
342.5,0.3219288850668818,196.70130396985707,0.043413597,0.077294232,0.4638820314391814,266.57639491164883,18.97473411
343,0.344154101,307.35929501712724,0.030779703805169572,0.074871091,0.3997555600356038,263.6092667400179,21.49169812434222
343.5,0.33539871289394796,243.22067364295816,0.031180187370246252,0.092028734,0.4321917452160141,265.4352083099962,20.138036022848432
344,0.3838900930713862,307.2108658196469,0.032291123,0.079365162,0.39981993,268.84125172793034,21.08879337232398
344.5,0.5004041037755087,434.39329277687784,0.039570203851943084,0.05905456,0.3562177802471872,278.16070721239174,22.26183498416195
345,0.6061422522179782,550.2082280660843,0.030493615710827714,0.073939069,0.3292311632259071,285.83558994600037,23.02241453124862
345.5,0.6694504430051893,466.5849624902587,0.028890904,0.10022468067118821,0.34782947724745444,292.08825911132556,21.63890791225267
346,0.6835937622236088,755.4984498472732,0.024281796,0.07574976,0.2962093552451984,289.8555589626307,24.543976722846217
346.5,0.6573275979608297,1567.4435236423483,0.017328254,0.049150192,0.23224479852365257,283.6341065951035,29.20255509606994
347,0.6202855714363977,1461.9228907263036,0.017540636,0.048367587967957176,0.23770326180898127,280.80978729209585,28.983674931002106
347.5,0.5259967766469344,468.08860802390086,0.036076910668202636,0.063236697,0.3474566324069109,279.9844575373847,22.54146651740879
348,0.4471982838585973,259.25975072632684,0.033695909317600393,0.10780269644044688,0.4230888663653347,278.04688007994815,19.480208241238287
348.5,0.4404633699450642,221.54313582346543,0.034363867581815505,0.1193561643032742,0.44585180631328136,279.21477522167015,18.563122690375028
349,0.3960129381157458,379.81386254547544,0.023689589211681992,0.090856781,0.372522944,267.95022689178353,22.287484140099224
349.5,0.36570582550484687,641.3964165574558,0.018937153,0.062546974,0.31282476016289257,258.6423761,25.820490138532634
350,0.37850216194055974,1676.5038466065419,0.012515061749659927,0.035730413,0.22709545644660148,252.7806179112313,31.638875162046673
350.5,0.3758081963751465,1047.2225667435139,0.013493124,0.053091754188366834,0.2656625269225851,255.8327706396723,28.75376398749922
351,0.3468480665469542,623.4541521902025,0.017598208,0.06361063,0.3157973316736895,256.1872728656531,25.838728373129204
